1.0000    1.1000
1.0381    1.1175
1.0734    1.1382
1.1060    1.1623
1.1357    1.1898
1.1627    1.2205
1.1870    1.2546
1.2084    1.2920
1.2271    1.3327
1.2431    1.3767
1.2562    1.4241
1.2666    1.4748
1.2742    1.5288
1.2791    1.5861
1.2812    1.6468
1.2805    1.7108
1.2770    1.7781
1.2708    1.8488
1.2618    1.9227
1.2500    2.0000
1.0280    1.0578
1.0616    1.0806
1.0931    1.1068
1.1224    1.1362
1.1495    1.1689
1.1745    1.2048
1.1972    1.2440
1.2178    1.2865
1.2363    1.3322
1.2525    1.3812
1.2666    1.4334
1.2785    1.4889
1.2883    1.5477
1.2958    1.6097
1.3012    1.6750
1.3044    1.7436
1.3055    1.8154
1.3043    1.8905
1.3010    1.9688
1.2956    2.0504
1.0593    1.0205
1.0887    1.0483
1.1164    1.0793
1.1426    1.1135
1.1672    1.1509
1.1901    1.1915
1.2115    1.2353
1.2312    1.2823
1.2494    1.3326
1.2659    1.3860
1.2808    1.4426
1.2941    1.5024
1.3058    1.5655
1.3159    1.6317
1.3244    1.7012
1.3313    1.7738
1.3366    1.8496
1.3403    1.9287
1.3423    2.0109
1.3428    2.0964
1.0939    0.9882
1.1192    1.0204
1.1435    1.0557
1.1666    1.0942
1.1887    1.1358
1.2098    1.1806
1.2297    1.2285
1.2486    1.2796
1.2664    1.3338
1.2832    1.3912
1.2988    1.4517
1.3134    1.5153
1.3270    1.5821
1.3394    1.6521
1.3508    1.7252
1.3611    1.8015
1.3704    1.8809
1.3786    1.9634
1.3857    2.0491
1.3917    2.1380
1.1319    0.9609
1.1533    0.9970
1.1742    1.0361
1.1945    1.0783
1.2142    1.1236
1.2334    1.1721
1.2520    1.2236
1.2700    1.2782
1.2875    1.3359
1.3044    1.3967
1.3207    1.4606
1.3365    1.5276
1.3517    1.5977
1.3663    1.6709
1.3804    1.7472
1.3939    1.8266
1.4068    1.9090
1.4192    1.9946
1.4310    2.0833
1.4422    2.1751
1.1731    0.9386
1.1909    0.9780
1.2085    1.0204
1.2261    1.0658
1.2435    1.1143
1.2609    1.1659
1.2782    1.2205
1.2954    1.2781
1.3125    1.3388
1.3295    1.4026
1.3464    1.4694
1.3632    1.5392
1.3799    1.6121
1.3966    1.6881
1.4131    1.7671
1.4296    1.8491
1.4459    1.9342
1.4622    2.0223
1.4784    2.1135
1.4945    2.2078
1.2177    0.9213
1.2320    0.9635
1.2466    1.0086
1.2615    1.0568
1.2768    1.1079
1.2924    1.1621
1.3084    1.2193
1.3248    1.2795
1.3415    1.3426
1.3585    1.4088
1.3759    1.4780
1.3937    1.5502
1.4118    1.6254
1.4302    1.7036
1.4490    1.7848
1.4682    1.8691
1.4877    1.9563
1.5076    2.0465
1.5278    2.1398
1.5483    2.2360
1.2657    0.9090
1.2766    0.9534
1.2883    1.0008
1.3007    1.0511
1.3139    1.1044
1.3279    1.1607
1.3427    1.2199
1.3582    1.2821
1.3744    1.3473
1.3915    1.4154
1.4093    1.4865
1.4278    1.5606
1.4472    1.6376
1.4673    1.7176
1.4881    1.8006
1.5097    1.8865
1.5321    1.9754
1.5553    2.0672
1.5792    2.1620
1.6039    2.2598
1.3169    0.9017
1.3247    0.9478
1.3336    0.9969
1.3437    1.0489
1.3550    1.1038
1.3673    1.1617
1.3809    1.2225
1.3956    1.2862
1.4114    1.3528
1.4283    1.4224
1.4465    1.4949
1.4657    1.5703
1.4861    1.6487
1.5077    1.7300
1.5304    1.8142
1.5542    1.9013
1.5792    1.9914
1.6054    2.0844
1.6326    2.1804
1.6611    2.2792
1.3715    0.8993
1.3763    0.9467
1.3827    0.9969
1.3905    1.0500
1.3999    1.1061
1.4107    1.1650
1.4231    1.2269
1.4369    1.2916
1.4523    1.3592
1.4691    1.4297
1.4875    1.5031
1.5073    1.5794
1.5286    1.6587
1.5515    1.7408
1.5758    1.8258
1.6016    1.9136
1.6290    2.0044
1.6578    2.0981
1.6881    2.1947
1.7199    2.2942
1.4294    0.9019
1.4315    0.9500
1.4354    1.0009
1.4412    1.0546
1.4487    1.1113
1.4581    1.1708
1.4693    1.2331
1.4823    1.2983
1.4972    1.3664
1.5138    1.4374
1.5323    1.5112
1.5526    1.5879
1.5747    1.6675
1.5987    1.7499
1.6244    1.8352
1.6520    1.9234
1.6814    2.0144
1.7126    2.1083
1.7456    2.2051
1.7805    2.3047
1.4906    0.9096
1.4901    0.9577
1.4918    1.0088
1.4956    1.0626
1.5014    1.1193
1.5094    1.1789
1.5195    1.2412
1.5317    1.3065
1.5460    1.3745
1.5625    1.4454
1.5810    1.5192
1.6016    1.5958
1.6244    1.6752
1.6492    1.7575
1.6762    1.8426
1.7053    1.9306
1.7365    2.0214
1.7698    2.1150
1.8052    2.2115
1.8427    2.3108
1.5551    0.9222
1.5523    0.9700
1.5519    1.0206
1.5538    1.0740
1.5581    1.1303
1.5647    1.1893
1.5737    1.2512
1.5851    1.3160
1.5989    1.3835
1.6150    1.4538
1.6335    1.5270
1.6544    1.6030
1.6776    1.6818
1.7032    1.7635
1.7312    1.8479
1.7615    1.9352
1.7942    2.0253
1.8293    2.1182
1.8667    2.2139
1.9065    2.3125
1.6230    0.9398
1.6180    0.9866
1.6156    1.0363
1.6158    1.0888
1.6186    1.1441
1.6240    1.2022
1.6319    1.2631
1.6425    1.3268
1.6557    1.3933
1.6715    1.4626
1.6898    1.5347
1.7108    1.6096
1.7344    1.6873
1.7605    1.7678
1.7893    1.8511
1.8206    1.9372
1.8546    2.0262
1.8911    2.1179
1.9303    2.2124
1.9720    2.3097
1.6942    0.9623
1.6872    1.0078
1.6830    1.0560
1.6816    1.1070
1.6830    1.1609
1.6872    1.2175
1.6941    1.2768
1.7039    1.3390
1.7165    1.4040
1.7319    1.4717
1.7500    1.5423
1.7710    1.6156
1.7947    1.6917
1.8213    1.7706
1.8506    1.8523
1.8827    1.9367
1.9176    2.0240
1.9554    2.1140
1.9959    2.2069
2.0392    2.3025
1.7687    0.9899
