mfp	p1	p2	p3	p4	p5	p6
0.0625	0.551	0.551	NaN	NaN	NaN	NaN
0.125	0.552	0.551	0.551	NaN	NaN	NaN
0.25	0.553	0.551	0.551	0.551	0.551	0.551
0.5	0.558	0.551	0.551	0.551	0.551	0.551
1	0.564	0.552	0.551	0.551	0.551	0.551
1.189207115	0.568	0.555	0.553	0.553	0.553	0.553
1.414213562	0.569	0.558	0.555	0.555	0.555	0.555
1.681792831	0.567	0.562	0.556	0.556	0.556	0.556
2	0.562	0.566	0.558	0.557	0.557	0.557
2.37841423	0.55	0.573	0.559	0.558	0.558	0.558
2.828427125	0.532	0.579	0.561	0.558	0.558	0.559
3.363585661	0.504	0.586	0.564	0.559	0.559	0.559
4	0.466	0.592	0.569	0.56	0.559	0.559
4.75682846	0.416	0.595	0.577	0.561	0.559	0.559
5.656854249	0.355	0.593	0.586	0.565	0.559	0.559
6.727171322	0.291	0.584	0.595	0.571	0.56	0.559
8	0.223	0.567	0.603	0.58	0.563	0.559
9.51365692	0.25	0.541	0.607	0.591	0.57	0.56
11.3137085	0.293	0.504	0.605	0.602	0.579	0.564
13.45434264	0.259	0.455	0.596	0.61	0.554	0.564
16	0.228	0.395	0.579	0.614	0.602	0.581
19.02731384	0.2	0.326	0.551	0.612	0.612	0.594
22.627417	0.177	0.26	0.513	0.602	0.618	0.606
26.90868529	0.156	0.3	0.463	0.584	0.618	0.616
32	0.14	0.363	0.4	0.555	0.611	0.622
38.05462768	0.13	0.32	0.333	0.515	0.595	0.622
45.254834	0.11	0.278	0.26	0.464	0.57	0.614
53.81737058	0.1	0.24	0.3	0.403	0.533	0.597
64	0.08	0.213	0.4	0.333	0.486	0.57
76.10925536	0.075	0.19	0.35	0.26	0.427	0.533
90.50966799	0.065	0.16	0.302	0.27	0.36	0.485
107.6347412	0.058	0.14	0.262	0.423	0.289	0.425
128	0.05	0.12	0.228	0.362	0.35	0.358
152.2185107	0.045	0.11	0.198	0.311	0.39	0.287
181.019336	0.04	0.1	0.172	0.269	0.392	0.3
215.2694823	0.035	0.08	0.15	0.233	0.336	0.35
256	0.031	0.07	0.13	0.202	0.289	0.394
304.4370214	0.029	0.06	0.113	0.176	0.249	0.338
362.038672	0.027	0.05	0.097	0.152	0.215	0.29
430.5389646	0.025	0.045	0.084	0.132	0.187	0.25
512	0.021	0.04	0.071	0.11	0.16	0.216
608.8740429	0.02	0.035	0.06	0.095	0.139	0.187
724.0773439	0.02	0.032	0.053	0.08	0.12	0.16
861.0779292	0.019	0.028	0.045	0.07	0.1	0.138
1024	0.0177	0.025	0.04	0.06	0.08	0.12
1448.154688	0.016	0.022	0.03	0.044	0.062	0.076
2048	0.0144	0.019	0.025	0.033	0.045	0.06
2896.309376	0.013	0.018	0.021	0.026	0.035	0.044
4096	0.012	0.016	0.0185	0.022	0.027	0.033
5792.618751	0.01	0.015	0.0172	0.019	0.022	0.026
8192	0.009	0.016	0.016	0.018	0.019	0.022
11585.2375	0.008	0.014	0.015	0.016	0.018	0.019
16384	0.008	0.012	0.014	0.015	0.016	0.0176
23170.47501	0.0087	0.011	0.013	0.014	0.015	0.016
32768	0.0065	0.009	0.011	0.013	0.014	0.015
46340.95001	0.005	0.008	0.01	0.012	0.013	0.014
65536	0.004	0.006	0.0086	0.01	0.012	0.013
92681.90002	0.003	0.005	0.007	0.009	0.01	0.011
131072	0.002	0.004	0.006	0.007	0.009	0.01
185363.8	0.0017	0.003	0.0048	0.006	0.0075	0.0085
262144	0.0013	0.002	0.0035	0.005	0.006	0.007
370727.6001	0.0009	0.0017	0.0027	0.004	0.005	0.006
524288	0.0007	0.0012	0.002	0.003	0.004	0.005
741455.2002	0.0004	0.0009	0.0015	0.002	0.003	0.004
1048576	0.0003	0.0006	0.001	0.0016	0.002	0.003
