mfp	p1	p2	p3	p4	p5	p6
1	0.308078	0.234406	0.21095	0.211738	0.211561	0.211736
1.189207115	0.328425	0.258381	0.212351	0.212214	0.212601	0.211504
1.414213562	0.348662	0.29591	0.232157	0.211464	0.214306	0.211276
1.681792831	0.364737	0.322819	0.259841	0.225415	0.212984	0.213554
2	0.371163	0.334398	0.284524	0.247095	0.215393	0.213632
2.37841423	0.380268	0.359364	0.312088	0.268958	0.242444	0.221886
2.828427125	0.388088	0.38117	0.340748	0.299983	0.267794	0.244137
3.363585661	0.396116	0.400026	0.366964	0.32781	0.293771	0.27433
4	0.403946	0.4068	0.396054	0.35586	0.324171	0.301366
4.75682846	0.410995	0.415023	0.414983	0.377394	0.347574	0.326668
5.656854249	0.422465	0.421281	0.424004	0.406368	0.374906	0.350183
6.727171322	0.426103	0.423585	0.43318	0.421957	0.404616	0.376537
8	0.432932	0.431407	0.439263	0.440207	0.421053	0.403018
9.51365692	0.438043	0.43535	0.441934	0.449551	0.445481	0.425112
11.3137085	0.445508	0.439743	0.437913	0.451186	0.460009	0.444417
13.45434264	0.450354	0.443155	0.449003	0.456321	0.464417	0.460499
16	0.4554	0.448999	0.450012	0.448422	0.46641	0.47252
19.02731384	0.456716	0.452515	0.448895	0.459393	0.464159	0.472148
22.627417	0.463064	0.45628	0.455221	0.462923	0.467427	0.473718
26.90868529	0.467328	0.460491	0.458642	0.461639	0.462583	0.472442
32	0.47006	0.463199	0.463793	0.465406	0.470971	0.474861
38.05462768	0.470947	0.467273	0.462031	0.467015	0.466941	0.477288
45.254834	0.472959	0.466305	0.466833	0.467337	0.473114	0.478999
53.81737058	0.477527	0.470795	0.467539	0.470223	0.47606	0.474497
64	0.473598	0.473085	0.478107	0.475044	0.474832	0.476607
76.10925536	0.476879	0.476839	0.473024	0.478729	0.476788	0.481924
90.50966799	0.477876	0.475075	0.478	0.477188	0.48119	0.4808
107.6347412	0.478368	0.478712	0.476471	0.47625	0.479356	0.484408
128	0.479366	0.479242	0.479086	0.480783	0.479732	0.483422
152.2185107	0.481891	0.480321	0.48207	0.479761	0.482301	0.485862
181.019336	0.482891	0.481181	0.482557	0.482512	0.4843	0.485319
215.2694823	0.482891	0.483759	0.482259	0.483641	0.484701	0.487386
256	0.483393	0.480753	0.483791	0.482864	0.484729	0.487984
304.4370214	0.480042	0.483381	0.48385	0.485602	0.485352	0.485681
362.038672	0.47957	0.484343	0.483963	0.486575	0.483987	0.484875
430.5389646	0.482468	0.481461	0.483806	0.485813	0.483738	0.488208
512	0.475572	0.482743	0.484036	0.48737	0.486265	0.485358
608.8740429	0.480897	0.481384	0.490073	0.482991	0.488596	0.487135
724.0773439	0.4704	0.48043	0.483419	0.483715	0.484334	0.484845
861.0779292	0.467964	0.48355	0.482544	0.487199	0.486587	0.487374
1024	0.476005	0.476076	0.485707	0.485445	0.488954	0.486726
1448.154688	0.452927	0.481024	0.481131	0.484392	0.486906	0.486112
2048	0.439495	0.475392	0.47665	0.484883	0.48254	0.48532
2896.309376	0.452989	0.472883	0.480814	0.481953	0.478838	0.479304
4096	0.436166	0.466987	0.481036	0.481875	0.478301	0.479767
5792.618751	0.421714	0.459635	0.454542	0.472534	0.464891	0.484954
8192	0.399098	0.448846	0.465309	0.472453	0.470842	0.480961
11585.2375	0.370836	0.431959	0.455497	0.448984	0.468645	0.466724
16384	0.338432	0.412041	0.444996	0.458487	0.465895	0.482239
23170.47501	0.301451	0.386882	0.426942	0.448439	0.465764	0.471081
32768	0.260671	0.355694	0.405197	0.432924	0.449532	0.463964
46340.95001	0.219825	0.320101	0.378708	0.413572	0.43348	0.449518
65536	0.180318	0.280139	0.345651	0.387173	0.411056	0.433554
92681.90002	0.14364	0.239468	0.309299	0.357221	0.390356	0.415101
131072	0.112038	0.197156	0.267497	0.319485	0.358937	0.388163
185363.8	0.0854815	0.158531	0.225944	0.280443	0.323028	0.354491
262144	0.0638993	0.124063	0.185257	0.238474	0.283927	0.31841
370727.6001	0.0471513	0.0950818	0.147225	0.197137	0.241032	0.27863
524288	0.0345597	0.071448	0.114155	0.157923	0.19936	0.236622
741455.2002	0.0248507	0.052909	0.0867389	0.123433	0.159819	0.195392
1048576	0.0178836	0.0387534	0.0648032	0.0943576	0.125389	0.155726
