mfp	p1	p2	p3	p4	p5	p6
0.0625	0.551	0.551	NaN	NaN	NaN	NaN
0.125	0.551	0.551	0.551	NaN	NaN	NaN
0.25	0.552	0.551	0.551	0.551	0.551	NaN
0.5	0.55	0.551	0.551	0.551	0.551	0.551
1	0.528	0.551	0.551	0.551	0.551	0.551
1.189207115	0.517	0.553	0.553	0.553	0.553	0.553
1.414213562	0.5	0.554	0.555	0.555	0.555	0.555
1.681792831	0.476	0.555	0.556	0.556	0.556	0.556
2	0.445	0.555	0.557	0.557	0.557	0.557
2.37841423	0.408	0.553	0.558	0.558	0.558	0.558
2.828427125	0.367	0.548	0.559	0.558	0.559	0.558
3.363585661	0.326	0.538	0.559	0.559	0.559	0.559
4	0.3	0.524	0.559	0.559	0.559	0.559
4.75682846	0.391	0.502	0.557	0.559	0.559	0.559
5.656854249	0.486	0.473	0.552	0.56	0.559	0.559
6.727171322	0.425	0.437	0.544	0.56	0.559	0.559
8	0.375	0.394	0.53	0.558	0.56	0.559
9.51365692	0.331	0.35	0.508	0.555	0.56	0.559
11.3137085	0.292	0.45	0.48	0.546	0.56	0.559
13.45434264	0.259	0.511	0.44	0.532	0.558	0.561
16	0.23	0.713	0.4	0.51	0.551	0.561
19.02731384	0.2	0.59	0.4	0.48	0.539	0.558
22.627417	0.18	0.497	0.44	0.443	0.52	0.552
26.90868529	0.16	0.423	0.609	0.4	0.493	0.54
32	0.14	0.363	0.827	0.45	0.459	0.52
38.05462768	0.12	0.32	0.623	0.498	0.417	0.493
45.254834	0.11	0.28	0.558	0.681	0.37	0.458
53.81737058	0.1	0.24	0.476	0.889	0.478	0.417
64	0.085	0.213	0.406	0.715	0.654	0.45
76.10925536	0.074	0.19	0.349	0.593	0.876	0.45
90.50966799	0.063	0.16	0.302	0.498	0.805	0.695
107.6347412	0.057	0.14	0.262	0.423	0.654	0.926
128	0.05	0.12	0.228	0.362	0.546	0.821
152.2185107	0.045	0.11	0.2	0.311	0.46	0.666
181.019336	0.04	0.1	0.17	0.27	0.392	0.55
215.2694823	0.035	0.08	0.15	0.234	0.335	0.465
256	0.03	0.07	0.13	0.202	0.289	0.394
304.4370214	0.028	0.06	0.11	0.176	0.25	0.338
362.038672	0.027	0.053	0.097	0.15	0.216	0.29
430.5389646	0.025	0.046	0.083	0.13	0.187	0.25
512	0.02	0.04	0.07	0.11	0.161	0.216
608.8740429	0.02	0.035	0.06	0.096	0.14	0.187
724.0773439	0.02	0.032	0.052	0.08	0.12	0.16
861.0779292	0.019	0.028	0.045	0.07	0.1	0.14
1024	0.0177	0.025	0.04	0.06	0.085	0.12
1448.154688	0.016	0.0215	0.03	0.04	0.062	0.085
2048	0.0145	0.019	0.025	0.033	0.045	0.06
2896.309376	0.0132	0.018	0.021	0.026	0.034	0.044
4096	0.012	0.016	0.0185	0.022	0.027	0.033
5792.618751	0.01	0.015	0.0172	0.019	0.022	0.026
8192	0.009	0.016	0.016	0.0176	0.019	0.022
11585.2375	0.008	0.014	0.015	0.016	0.018	0.019
16384	0.008	0.012	0.014	0.015	0.016	0.018
23170.47501	0.009	0.011	0.013	0.014	0.015	0.016
32768	0.007	0.0091	0.012	0.013	0.014	0.015
46340.95001	0.005	0.0076	0.0098	0.012	0.013	0.014
65536	0.004	0.007	0.0088	0.01	0.012	0.013
92681.90002	0.003	0.005	0.0077	0.009	0.01	0.011
131072	0.002	0.004	0.006	0.007	0.009	0.01
185363.8	0.0015	0.003	0.005	0.006	0.0075	0.008
262144	0.0013	0.0025	0.0037	0.005	0.006	0.007
370727.6001	0.0008	0.0017	0.0029	0.004	0.005	0.006
524288	0.0007	0.0012	0.002	0.003	0.004	0.0045
741455.2002	0.0004	0.0009	0.0015	0.002	0.003	0.004
1048576	0.0003	0.0007	0.001	0.0016	0.002	0.003
