ne1 fe1 ne2 fe2 ne4 fe4 ne6 fe6 ne8 fe8
8  5.7272E-01  12	1.3141E-01  20	2.7999E-03  28	3.17E-05  36	2.17E-07
16 1.0635E-01  24	1.1171E-02  40	4.8755E-05 56	1.17E-07 72	1.89E-10
32  1.6701E-02  48	7.2978E-04 80	7.4649E-07 112	4.68E-10  144	2.46E-13
64  2.3689E-03  96	4.6104E-05 160	1.2043E-08  224	1.96E-12  288	1.58E-13
128 3.1411E-04  192	3.0033E-06  320	2.0688E-10 448	NaN  576	NaN
256 4.0307E-05  384	2.0466E-07 640	NaN  576	NaN  1152	NaN
